ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
GRYP,2025-05-12,173.08,-35.16,321.15,27.51,21.13,5.27,2.32,0.06,100.65,135.98,8.92,-71.11,314.34,83.11,0.52,4179432
LYFT,2025-05-12,3.36,0.82,2.52,28.08,13.42,12.92,2.18,0.82,36.99,39.25,27.2,-12.67,86.55,79.21,16.65,107156351
PODD,2025-05-20,0.5,1.07,-0.56,20.88,6.02,14.02,1.3,13.02,21.06,20.14,25.47,7.33,93.94,72.94,310.67,3214185
SKIN,2025-05-20,3.05,4.32,-1.22,50.81,32.62,13.71,0.9,0.17,76.46,56.34,26.12,-48.48,139.74,72.53,1.87,6466122
TTEC,2025-05-20,7.77,7.35,0.39,32.5,19.37,11,1.2,0.34,33.65,41.8,16.36,-37.28,70.42,73.36,5.3,1568206
AMPL,2025-05-13,-1.42,3.42,-4.68,12.5,5.93,6.2,1.43,0.63,30.61,16.37,18.52,-19.56,62.42,74.33,11.97,5009877
ARRY,2025-05-20,5.57,3.23,2.27,14.96,7.21,7.23,1.66,0.49,39.56,32.73,6.91,-53.94,81.91,72.93,6.84,15776342
CCRD,2025-05-13,2.08,0.04,2.03,15.64,8.86,6.23,0.56,1.48,20.92,21.04,29.79,-5.53,103.89,68.86,23.59,48429
NPCE,2025-04-29,3.1,3.19,-0.09,20.46,9.09,10.42,2.04,0.98,31.22,33.38,56.05,3.24,186.24,74.9,15.6,811090
AYTU,2025-05-20,1.5,1.5,0,91.85,32.82,44.44,-0.07,0.19,105.78,115.97,47.33,-23.82,172.63,89.97,2.59,62705815
TOI,2025-04-16,2.11,6.59,-4.21,28.27,7.42,19.41,0.03,0.41,11.56,69.41,296.94,-13.14,2326.18,62.12,3.04,7085921
TOON,2025-04-01,2.05,2.19,-0.14,17.43,10.29,6.47,1.8,0.05,24.46,24.06,8.9,-31.19,63.01,71.73,0.75,903578
AP,2025-04-03,2.84,4.83,-1.9,14.6,6.08,8.03,1.01,0.24,38.11,46.95,55.15,0.64,324.32,69.57,3.14,173574
DFDV,2025-05-07,-12.03,-10.35,-1.87,40.69,32.89,5.88,-6.56,23.11,110.07,282.77,1075.18,13.64,5199.43,74.44,178.4,345823
HSCS,2025-05-21,-13.14,-12.95,-0.22,21.68,12.25,8.4,2.59,0.27,29.58,40.19,33.2,-40.69,90.25,76.76,4.49,44343
DOMO,2025-04-11,-0.48,0,-0.48,26.9,18.45,7.13,1.63,0.59,31.53,35.17,37.13,6.9,80.53,77.94,10.85,4424215
SNOW,2025-04-30,-0.54,2.24,-2.71,13.43,5.82,7.19,1.14,6.92,16.72,27.75,36.96,4.52,89.66,79.99,203.18,26144395
TIL,2025-04-24,-4.43,-4.2,-0.24,51.73,33.75,13.44,1.87,2.61,72.36,51.86,-0.96,-73.25,155.82,72.8,24.61,1346039
