ticker,beta_3,atr_3,sma20_percent_3,sma50_percent_3,sma200_percent_3,high_52w_percent_3,low_52w_percent_3,rsi_3,price_3,change_percent_3,from_open_percent_3,gap_3,volume_3,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,change_percent_2,from_open_percent_2,gap_2,volume_2,beta_1,atr_1,sma20_percent_1,sma50_percent_1,sma200_percent_1,high_52w_percent_1,low_52w_percent_1,rsi_1,price_1,change_percent_1,from_open_percent_1,gap_1,volume_1
ESPR,0.99,0.36,-2.68,13.9,20,-31.73,100,48.98,2.69,-11.51,-10.93,-0.66,19098355,0.97,0.33,10.51,29.9,35.55,-22.84,126.02,55.53,3.04,-20.63,-20.83,0.26,13576912,0.99,0.28,40.55,65.63,70.93,0.52,184.76,77.15,3.83,10.06,9.43,0.57,5566735
GOEV,1.18,0.07,-66.82,-80.08,-92.64,-98.16,8.33,19.26,0.13,-23.53,-19.2,-5.35,86089877,1.16,0.07,-59.72,-74.55,-90.44,-97.6,-19.51,20.78,0.17,-29.17,-26.09,-4.17,92988940,1.14,0.06,-46.43,-64.93,-86.59,-96.61,-19.4,23.83,0.24,-21.77,-20,-2.22,36811769
ICCT,0.69,0.03,9.67,-22.91,-74.05,-93.98,27.23,48.37,0.19,-12.5,-5.31,-7.59,9670399,0.73,0.03,26.32,-13,-70.6,-93.13,45.41,57.17,0.22,18.6,1.48,16.87,308184932,0.76,0.02,8.06,-27.39,-75.43,-94.2,22.6,45.65,0.19,11.08,4.21,6.59,3483432
TNFA,2.17,0.17,-2.83,-14.61,-38.23,-88.56,14.02,45.99,1.22,-22.29,-17.57,-5.73,437637,2.18,0.15,24.68,9.53,-20.95,-85.28,46.73,62.85,1.57,11.35,1.29,9.93,1364403,2.2,0.15,12.64,-1.7,-29.34,-86.78,31.78,56,1.41,13.71,6.02,7.26,983031
ASST,6.85,0.13,18.23,-16.79,-59.52,-84.25,70.3,51.79,0.69,22.34,5.42,16.05,27614213,6.73,0.12,-4.06,-32.95,-67.1,-87.13,39.2,43.09,0.56,-18.25,2.73,-20.42,3853033,7.13,0.12,15.01,-19.41,-59.99,-84.25,70.27,51.76,0.69,48.95,-1.45,51.14,146968474
BSGM,0.59,0.27,-15.1,19.76,57.84,-71.39,611.44,48.19,1.43,10,5.93,3.85,264263,0.59,0.27,-24.05,10.97,44.22,-73.99,546.77,44.58,1.3,18.18,20.37,-1.82,237652,0.57,0.27,-37.44,-4.53,22.59,-78,447.26,38.45,1.1,-22.54,-23.08,0.7,437807
MSPR,-2.42,0.57,20.78,-17.55,-80.97,-96.96,59.44,50.3,2.28,12.87,14.57,-1.49,416565,-2.43,0.57,5.42,-27.61,-83.27,-97.31,41.26,47.11,2.02,-12.17,-6.05,-6.52,458909,-2.42,0.57,16.54,-18.58,-81.09,-97.44,60.84,50.34,2.3,-29.01,-4.17,-25.93,746907
SXTP,4.61,0.2,94.28,113.98,-0.14,-87.96,215.04,81.59,60,13.33,10.5,2.56,3339775,5.05,0.18,80.97,92.7,-12.09,-89.38,177.98,78.33,60,34.48,25.81,6.9,6271117,5.31,0.14,40.84,45.3,-34.83,-92.1,106.7,68.31,60,26.09,15.08,9.57,275445
VRAR,1.92,0.17,96.91,109.34,55.01,-13.29,198.09,81.71,1.5,31.58,30.43,0.88,16894756,1.96,0.13,57.96,62.47,17.75,-34.1,126.55,73.81,1.14,35.71,5.56,28.57,30122042,1.98,0.1,20.38,21.04,-13.38,-51.45,66.93,60.67,0.84,14.8,9.42,4.92,483177
XFOR,0.29,0.08,85.1,54.94,-5.93,-52.46,191.23,74.38,0.76,12.96,11.87,0.98,10725760,0.32,0.07,67.29,37.86,-16.85,-57.91,157.81,70.29,0.67,27.56,22.44,4.19,13896820,0.34,0.06,31.31,8.09,-34.93,-67.01,102.11,60.51,0.53,32.27,22.77,7.74,6766873
